"id","parent","folder","name","mark_del","id_1c","base","code"
3573,ac479f01-ec29-11ee-ae73-fc15b494e95f,false,Затраты на ГСМ,false,ac479f03-ec29-11ee-ae73-fc15b494e95f,UPP_BUH,""
3624,c98b4aa9-2748-11e8-bf4f-14dae924ceec,false,Спец. одежда,false,c98b4aaa-2748-11e8-bf4f-14dae924ceec,UPP_BUH,""
3468,"6627fedc-2824-11e8-bf4f-14dae924ceec",false,Контроль качества 2020,false,"5b88374f-b9e5-11ea-802c-14dae924ceec",UPP_BUH,""
3480,"87474c3b-5b51-11e8-9972-14dae924ceec",false,УдалЗатраты на транспортные компании (до нашего склада),true,abea4f37-b65a-11e8-86a1-14dae924ceec,UPP_BUH,""
3492,"87474c3b-5b51-11e8-9972-14dae924ceec",true,Общехозяйственные расходы,true,"8139ac60-5b51-11e8-9972-14dae924ceec",UPP_BUH,""
3504,"056782d1-2749-11e8-bf4f-14dae924ceec",false,Себестоимость проданного товара (от других БЕ),false,beae10dd-5b52-11e8-9972-14dae924ceec,UPP_BUH,""
3516,"74cdc2d2-5b53-11e8-9972-14dae924ceec",false,Списание по результатам инвентаризации,false,"74cdc2d3-5b53-11e8-9972-14dae924ceec",UPP_BUH,""
3528,ff6f119b-2748-11e8-bf4f-14dae924ceec,false,"Затраты на страхование, оценки, нотариусы и т.д",false,"7264f011-a3bb-11ed-a82c-14dae924ceec",UPP_BUH,""
3539,"87474c3b-5b51-11e8-9972-14dae924ceec",false,УдаленоСпец. одежда,true,"526775d3-b8e7-11ed-ae60-fc15b494e95f",UPP_BUH,""
3548,e746f8a2-10fd-11ef-ae73-fc15b494e95f,false,Затраты на транспорт производственных сотрудников,false,"836ca61b-dd29-11ed-ae60-fc15b494e95f",UPP_BUH,""
3557,"64cb8c9e-9c62-11e2-b907-14dae924ceec",false,Налоги и сборы по зарплате (ЕСН и т.д.) общ.-произв. перс.,false,"7e10fad6-fec4-11ed-ae60-fc15b494e95f",UPP_BUH,""
